"battalion","incident_date_month","incidents_count","avg_minutes_to_arrival","avg_minutes_to_close","avg_suppression_units","avg_suppression_personnel","avg_ems_units","avg_ems_personnel","avg_other_units","avg_other_personnel","avg_estimated_property_loss","avg_estimated_contents_loss","avg_fire_fatalities","avg_fire_injuries","avg_civilian_fatalities","avg_civilian_injuries","avg_number_of_alarms","count_detectors_present","avg_number_of_floors_with_minimum_damage","avg_number_of_floors_with_significant_damage","avg_number_of_floors_with_heavy_damage","avg_number_of_floors_with_extreme_damage","count_automatic_extinguishing_system_present"
"B01","2008-01-01 00:00:00+00",304,-5.9513706140350875,-23.53651315789474,2.4835526315789473,9.30921052631579,0.05921052631578947,0.1118421052631579,0.013157894736842105,0.02631578947368421,1543.3333333333333,803.6363636363636,0.0,0.0,0.0,0.0,1.0,6,1.0,0.0,0.0,0.0,2
"B01","2008-02-01 00:00:00+00",314,-5.569692144373673,-20.263588110403397,2.7038216560509554,10.168789808917197,0.1305732484076433,0.2515923566878981,0.01592356687898089,0.025477707006369428,837.0454545454545,794.9230769230769,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,2
"B01","2008-03-01 00:00:00+00",316,-5.198892405063291,-20.60073839662447,2.6487341772151898,9.85759493670886,0.08227848101265822,0.14240506329113925,0.0,0.0,2836.409090909091,1006.1785714285714,0.0,0.0,0.0,0.0,1.0,5,1.0,0.0,0.0,0.0,2
"B01","2008-04-01 00:00:00+00",304,-5.489035087719298,-20.874451754385966,2.5164473684210527,9.648026315789474,0.09210526315789473,0.16447368421052633,0.0,0.0,2354.5454545454545,294.1304347826087,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,NULL
"B01","2008-05-01 00:00:00+00",296,-5.627646396396396,-23.97269144144144,2.5135135135135136,9.922297297297296,0.09797297297297297,0.18243243243243243,0.016891891891891893,0.030405405405405407,93761.8,32244.904761904763,0.0,0.0,0.0,0.0,1.0033783783783785,2,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,NULL
"B01","2008-06-01 00:00:00+00",278,-5.069064748201439,-21.56031175059952,2.6258992805755397,10.057553956834532,0.0539568345323741,0.10071942446043165,0.0035971223021582736,0.007194244604316547,2411.5384615384614,674.3888888888889,0.0,0.0,0.0,0.0,1.0,7,0.6923076923076923,0.0,0.0,0.0,3
"B01","2008-07-01 00:00:00+00",337,-5.702917903066271,-22.26369930761622,2.3382789317507418,9.083086053412464,0.0830860534124629,0.1572700296735905,0.005934718100890208,0.011869436201780416,639.047619047619,426.81481481481484,0.0,0.0,0.0,0.0,1.0,6,0.8,0.0,0.0,0.0,2
"B01","2008-08-01 00:00:00+00",356,-5.266994382022472,-20.47921348314607,2.558988764044944,9.907303370786517,0.07303370786516854,0.1348314606741573,0.0028089887640449437,0.011235955056179775,7635.923076923077,1285.128205128205,0.0,0.0,0.0,0.0,1.0,9,0.8333333333333334,0.0,0.0,0.0,4
"B01","2008-09-01 00:00:00+00",273,-5.354273504273504,-21.574969474969475,2.67032967032967,9.54945054945055,0.11721611721611722,0.21978021978021978,0.003663003663003663,0.003663003663003663,2980,1270.9615384615386,0.0,0.0,0.0,0.0,1.0036630036630036,1,1.6666666666666667,0.0,0.6666666666666666,0.0,NULL
"B01","2008-10-01 00:00:00+00",266,-5.07437343358396,-22.23890977443609,2.7481203007518795,10.552631578947368,0.4323308270676692,0.16541353383458646,0.0037593984962406013,0.007518796992481203,1064.267857142857,1854.357142857143,0.0,0.0,0.0,0.0,1.0,1,0.6666666666666666,0.0,0.0,0.0,1
"B01","2008-11-01 00:00:00+00",283,-5.072143698468786,-21.17756183745583,2.558303886925795,9.614840989399294,0.10600706713780919,0.1872791519434629,0.007067137809187279,0.014134275618374558,11844.366197183099,19135,0.0,0.0,0.0,0.0,1.0035335689045937,1,0.6666666666666666,0.0,0.1111111111111111,0.0,NULL
"B01","2008-12-01 00:00:00+00",300,-5.269166666666667,-22.239333333333335,2.6366666666666667,9.663333333333334,0.07333333333333333,0.14666666666666667,0.003333333333333333,0.003333333333333333,4029.2753623188405,9080.733333333334,0.0,0.0,0.0,0.01,1.0033333333333334,2,0.42857142857142855,0.2857142857142857,0.0,0.0,1
"B01","2009-01-01 00:00:00+00",279,-5.406212664277181,-20.78847072879331,2.4516129032258065,9.555555555555555,0.05734767025089606,0.11827956989247312,0.0,0.0,614.8125,546.3636363636364,0.0,0.0,0.0,0.0,1.0,2,0.75,0.0,0.0,0.0,NULL
"B01","2009-02-01 00:00:00+00",283,-5.14040047114252,-20.54193168433451,2.508833922261484,9.469964664310954,0.08480565371024736,0.1696113074204947,0.0035335689045936395,0.014134275618374558,1712.7631578947369,937.5882352941177,0.0,0.0,0.0,0.0,1.0,3,0.5,0.0,0.1,0.0,1
"B01","2009-03-01 00:00:00+00",271,-6.042619926199262,-21.50289052890529,2.4538745387453873,9.420664206642066,0.05904059040590406,0.1033210332103321,0.014760147601476014,0.03690036900369004,893.3863636363636,1879.5,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,1
"B01","2009-04-01 00:00:00+00",261,-5.845019157088123,-20.708237547892722,2.578544061302682,9.35632183908046,0.08045977011494253,0.15708812260536398,0.0,0.0,213.14814814814815,23.88235294117647,0.0,0.0,0.0,0.0,1.0,2,0.5,0.0,0.0,0.0,NULL
"B01","2009-05-01 00:00:00+00",269,-5.999318463444857,-30.122180916976458,2.7509293680297398,10.806691449814126,0.17472118959107807,0.15613382899628253,0.007434944237918215,0.022304832713754646,1376.84,560.8571428571429,0.0,0.0,0.0,0.0,1.0,6,1.1666666666666667,0.0,0.0,0.0,3
"B01","2009-06-01 00:00:00+00",255,-4.885294117647059,-18.593202614379084,2.2901960784313724,8.8,0.06666666666666667,0.12549019607843137,0.0,0.0,3171.875,651.3125,0.0,0.0,0.0,0.0,1.0,6,0.875,0.0,0.0,0.0,2
"B01","2009-07-01 00:00:00+00",301,-4.697452934662237,-18.873200442967885,2.524916943521595,9.893687707641195,0.11295681063122924,0.20930232558139536,0.009966777408637873,0.026578073089700997,1646.9375,2851.277777777778,0.0,0.0,0.0,0.0,1.0,3,0.7142857142857143,0.0,0.0,0.0,NULL
"B01","2009-08-01 00:00:00+00",307,-4.930944625407166,-21.837947882736156,2.3615635179153096,9.315960912052118,0.10097719869706841,0.19218241042345277,0.009771986970684038,0.009771986970684038,27555.95238095238,37114.63636363636,0.0,0.0,0.0,0.0,1.009771986970684,2,0.5,0.5,0.5,0.0,NULL
"B01","2009-09-01 00:00:00+00",283,-5.2925795053003535,-23.68321554770318,2.618374558303887,9.57243816254417,0.10954063604240283,0.1978798586572438,0.007067137809187279,0.01060070671378092,20328.405405405407,17909.428571428572,0.0,0.0,0.0,0.0035335689045936395,1.0035335689045937,2,0.3333333333333333,0.0,0.3333333333333333,0.0,1
"B01","2009-10-01 00:00:00+00",335,-5.351243781094527,-21.924278606965174,2.680597014925373,9.844776119402985,0.08955223880597014,0.1582089552238806,0.005970149253731343,0.01791044776119403,7534.692307692308,145.41176470588235,0.0,0.026865671641791045,0.0,0.026865671641791045,1.0029850746268656,6,0.8571428571428571,0.14285714285714285,0.0,0.0,2
"B01","2009-11-01 00:00:00+00",309,-5.608198489751888,-22.55997842502697,2.5792880258899675,9.718446601941748,0.1488673139158576,0.2750809061488673,0.012944983818770227,0.025889967637540454,21580,1564.6,0.0,0.0,0.0,0.0,1.0,8,0.8,0.1,0.0,0.0,NULL
"B01","2009-12-01 00:00:00+00",291,-5.540836197021764,-21.973424971363116,2.549828178694158,9.529209621993127,0.12027491408934708,0.2508591065292096,0.03436426116838488,0.058419243986254296,18166.666666666668,5422.736842105263,0.0,0.0,0.0,0.0,1.0,5,0.8,0.2,0.0,0.0,1
"B01","2010-01-01 00:00:00+00",305,-4.864535519125683,-20.925792349726777,2.5704918032786885,9.61311475409836,0.11475409836065574,0.21639344262295082,0.006557377049180328,0.009836065573770493,36022,6200.470588235294,0.0,0.0,0.0,0.0,1.0,2,0.6,0.2,0.0,0.0,NULL
